date,year,doy,DOR,solar rad kW-hr/m2,wind speed m/s,wind dir. Deg.,wind gust m/s,air temp ave. deg. C ,air temp max deg. C,air temp min deg. C,relative humidity ave. %,relative humidity max %,relative humidity min %,ASCE Et. Total mm,Penman Et. Total mm,Growing Degree Days 40,Growing Degree Days 50,Precip total mm
03/04/16,2016,64,429,3.173,1.99,327,9.8,13.9,20,9.6,85,97,61,2.5,3.05,473,219,0
03/05/16,2016,65,430,1.873,2.77,130,10.88,14.1,17.7,12,91,99,75,1.6,1.87,475,221,9.14
03/06/16,2016,66,431,5.428,2.96,308,10.13,11.2,15.4,4.5,77,97,51,3.15,3.45,252,0,13.72
03/07/16,2016,67,432,1.945,2.86,296,16.76,7.7,10.1,5.1,86,94,75,1.33,1.59,145,0,26.67
03/08/16,2016,68,433,5.636,3.81,294,12.9,11.4,17.4,5.3,68,89,43,3.86,4.04,316,62,0.25
03/09/16,2016,69,434,5.529,1.81,301,12.8,12.3,21.7,4.2,78,96,54,3.52,4.55,389,135,0
03/10/16,2016,70,435,5.439,1.24,306,6.4,14,23,6.8,81,99,48,3.59,4.05,478,224,0
03/11/16,2016,71,436,1.287,2.96,319,14.86,10.3,14.6,8.2,80,96,22,2.36,1.69,317,63,15.75
03/12/16,2016,72,437,5.727,4.33,299,11.92,11.1,15.2,7.3,67,86,57,3.42,3.71,312,58,0
03/13/16,2016,73,438,2.867,1.6,306,7.94,11.9,16.7,5.3,84,97,64,2.03,2.62,300,46,1.27
03/14/16,2016,74,439,5.78,3.66,297,11.99,14.2,18.7,9.4,81,98,53,3.72,3.91,439,185,1.27
03/15/16,2016,75,440,5.939,2.33,351,12.74,14.7,24.1,4.4,56,95,16,5.02,5.47,447,193,0
03/16/16,2016,76,441,6.055,1.19,316,5.23,17,26.2,7.4,51,83,21,4.5,5,564,310,0
03/17/16,2016,77,442,6.015,1.27,304,6.83,17.4,26.4,9.3,61,92,30,4.46,4.95,613,359,0
03/18/16,2016,78,443,5.974,1.56,259,6.24,12.4,19.2,5.9,88,99,67,3.28,4.05,371,117,0
03/19/16,2016,79,444,4.562,1.46,300,8.13,13,19.7,9.2,91,100,65,2.87,3.33,458,204,0.25
03/20/16,2016,80,445,6.141,1.67,292,7.77,14,21.6,7.3,81,99,49,3.87,4.54,458,204,0
03/21/16,2016,81,446,4.579,2.84,313,10.97,13.5,17.8,10.6,76,96,49,3.27,3.31,445,191,0
03/22/16,2016,82,447,6.261,4.05,324,14.05,13.2,18.8,8.5,54,82,29,4.86,4.68,420,166,0
03/23/16,2016,83,448,6.426,2.24,314,16.46,13.6,21.8,5.9,50,84,25,4.72,5.41,431,177,0
03/24/16,2016,84,449,6.403,2.27,339,10.32,14.8,26.4,4.2,57,94,24,5.27,6.3,496,242,0
03/25/16,2016,85,450,6.485,3.09,344,12.77,16.1,26.5,6.9,59,94,16,6.07,6.19,560,306,0
03/26/16,2016,86,451,6.491,2.22,265,11.95,14.4,27.4,6.5,69,96,22,5.47,6.39,572,318,0
03/27/16,2016,87,452,6.254,2.05,274,10.65,12.5,22.1,5,79,98,45,4.08,5.23,417,163,0
03/28/16,2016,88,453,5.393,3.57,288,14.93,9.3,13.7,4.3,76,98,45,3.16,3.36,207,0,0
03/29/16,2016,89,454,6.043,2.45,290,10.09,7.7,14.9,-0.4,75,96,46,3.21,4.1,128,0,0
03/30/16,2016,90,455,6.469,1.99,308,10.91,9,18.9,1.1,70,97,35,3.91,4.93,254,0,0
03/31/16,2016,91,456,6.631,2.6,309,13.98,10.7,21.7,2,73,98,35,4.51,5.53,338,84,0
04/01/16,2016,92,457,6.168,1.43,299,7.22,12.4,24,4.5,77,100,43,4.05,5.04,448,194,0
04/02/16,2016,93,458,6.665,1.41,278,6.99,14.1,26.1,4.3,73,98,31,4.65,5.64,492,238,0
04/03/16,2016,94,459,6.761,1.51,289,9.54,14.2,26.7,4.5,72,100,21,4.96,5.91,509,255,0
04/04/16,2016,95,460,6.765,2.12,312,10.58,15.2,28.5,5.2,70,100,20,5.69,6.92,567,313,0
04/05/16,2016,96,461,6.897,1.61,268,7.28,18.5,31.1,6.7,52,89,20,5.75,7.07,661,407,0
04/06/16,2016,97,462,6.097,1.61,290,9.02,21.2,33.5,12.9,45,73,13,5.91,7.09,856,602,0
04/07/16,2016,98,463,4.147,1.4,270,9.47,15.6,24.2,11.4,71,97,34,3.5,3.9,613,359,3.3
04/08/16,2016,99,464,1.138,0.86,172,5.39,13.7,15.9,12.9,95,99,84,0.87,1.04,456,202,6.35
